,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Origin_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,Destination_ratio_diff,clusters
time_interval,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,Evening,Late Night,Midday,Rush Hour AM,Rush Hour PM,Weekend,
Station Complex Name,,,,,,,,,,,,,
Aqueduct Racetrack (A),0.06,0.02,-0.07,-0.11,0.04,0.08,-0.04,-0.02,0.13,-0.04,-0.11,0.1,destination
Aqueduct-N Conduit Av (A),-0.01,0.14,-0.06,0.08,-0.08,-0.05,-0.02,0.02,-0.01,-0.04,0.11,-0.04,residential
Astor Pl (6),0.1,-0.05,-0.05,-0.1,0.07,0.05,-0.03,-0.02,0.05,0.01,-0.06,0.06,destination
"Astoria Blvd (N,W)",0.0,-0.02,0.03,0.06,-0.04,-0.01,0.04,-0.01,-0.04,-0.05,0.07,0.01,residential
"Astoria-Ditmars Blvd (N,W)",0.0,-0.01,0.01,0.06,-0.03,0.0,0.03,-0.01,-0.03,-0.04,0.07,0.0,residential
Atlantic Av (L),0.01,0.01,-0.05,0.01,0.07,-0.03,-0.01,0.06,0.0,0.02,-0.03,-0.03,residential
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",0.06,-0.04,-0.04,-0.07,0.07,0.04,-0.04,-0.01,0.02,0.04,-0.03,0.03,destination
Avenue H (Q),-0.01,-0.02,0.04,0.03,-0.01,-0.02,0.01,-0.02,0.02,0.01,0.02,-0.01,residential
Avenue I (F),0.01,-0.04,0.01,-0.02,0.1,-0.04,-0.03,0.02,0.01,0.1,-0.04,-0.03,destination
Avenue J (Q),-0.01,-0.01,0.03,0.02,0.01,-0.01,0.0,0.0,0.0,0.03,0.01,-0.01,residential
Avenue M (Q),-0.01,-0.02,0.05,0.02,0.01,-0.02,-0.01,-0.01,-0.01,0.06,0.01,-0.02,residential
Avenue N (F),-0.01,0.03,-0.02,0.07,-0.02,-0.04,-0.01,-0.01,-0.02,0.02,0.06,-0.03,residential
Avenue P (F),-0.02,0.04,-0.02,0.1,-0.06,-0.03,0.01,-0.01,-0.03,-0.02,0.09,-0.02,residential
Avenue U (F),-0.01,0.03,0.0,0.06,0.0,-0.06,-0.02,0.01,-0.01,0.03,0.05,-0.04,residential
Avenue U (N),-0.02,0.02,0.0,0.06,-0.07,0.02,-0.01,-0.02,-0.02,-0.01,0.06,0.01,residential
Avenue U (Q),-0.01,0.0,0.03,0.05,-0.04,-0.01,0.0,-0.02,0.01,-0.01,0.05,0.0,residential
Avenue X (F),0.0,0.05,0.01,0.06,-0.03,-0.07,-0.01,0.01,0.01,0.02,0.04,-0.04,residential
Bay 50 St (D),-0.02,0.03,0.03,0.05,-0.07,0.0,0.0,-0.01,-0.02,0.02,0.03,0.0,residential
Bay Pkwy (D),-0.02,0.03,0.01,0.05,-0.06,0.02,0.0,-0.02,0.0,-0.02,0.05,0.01,residential
Bay Pkwy (F),-0.01,0.02,0.0,0.04,-0.01,-0.02,-0.01,0.01,-0.02,0.03,0.03,-0.02,residential
Bay Pkwy (N),-0.02,0.03,0.02,0.07,-0.07,0.01,0.0,-0.03,-0.01,-0.03,0.08,0.01,residential
Bay Ridge Av (R),-0.01,0.0,0.03,0.05,-0.04,0.0,0.01,-0.02,-0.01,-0.01,0.05,0.0,residential
